,date,low,high,adjusted close,open
0,1999-11-01,96.37,98.81,51.9490206826673,98.5
1,1999-11-02,93.69,96.81,50.9073555651027,96.75
2,1999-11-03,93.5,95.94,50.6711016209128,95.87
3,1999-11-04,90.0,94.44,49.1622980227908,94.44
4,1999-11-05,90.19,92.94,48.4589055980436,92.75
5,1999-11-08,90.5,93.94,50.5046499784153,90.5
6,1999-11-09,92.12,95.5,50.3326094419762,95.06
7,1999-11-10,94.12,97.06,52.1497876081146,94.62
8,1999-11-11,94.87,97.5,51.07453425537,97.5
9,1999-11-12,93.0,96.25,51.5422694638139,96.0
10,1999-11-15,93.87,96.37,50.56916517958,96.0
11,1999-11-16,93.0,95.0,50.8702361183485,94.62
12,1999-11-17,92.62,94.87,50.4025009099046,94.87
13,1999-11-18,93.56,98.25,52.6874142844869,94.0
14,1999-11-19,98.37,105.12,55.8809167421385,99.0
15,1999-11-22,104.44,108.44,57.9937895802817,105.5
16,1999-11-23,106.0,109.87,57.0206852960478,108.81
17,1999-11-24,101.81,105.0,56.181987680907,105.0
18,1999-11-26,104.12,106.0,56.4508010190931,105.94
19,1999-11-29,103.37,104.94,56.0153234112316,104.94
20,1999-11-30,102.12,104.5,55.4078052669309,103.69
21,1999-12-01,102.25,104.44,55.6013508704249,102.56
22,1999-12-02,103.37,106.31,56.5959602217137,103.44
23,1999-12-03,107.94,112.87,60.1442962857709,109.81
24,1999-12-06,112.5,116.5,62.3646944591886,113.0
25,1999-12-07,115.44,119.19,62.6980229985395,117.0
26,1999-12-08,115.5,121.0,63.5904832813175,116.25
27,1999-12-09,112.25,122.12,60.9507363003294,120.5
28,1999-12-10,107.56,111.94,58.6013077245824,111.62
29,1999-12-13,106.56,112.75,58.977646398043,108.12
30,1999-12-14,106.87,110.19,58.7357143936755,110.19
31,1999-12-15,104.5,107.94,57.5260543718378,107.75
32,1999-12-16,105.75,109.69,58.7034567930931,108.0
33,1999-12-17,108.62,111.06,59.1389344009547,110.69
34,1999-12-20,107.75,110.44,58.7088330598569,109.06
35,1999-12-21,108.06,110.12,59.2034496021194,108.5
36,1999-12-22,108.0,110.31,58.0636810482101,109.87
37,1999-12-23,108.19,110.44,58.3970095875609,109.12
